clip_id,start_frame,end_frame,label_start_frame,label_end_frame,target_class,event_id,event_overlap_frames,window_id
england_epl__2014_2015__2015_04_11___19_30_Burnley_0___1_Arsenal__h1_720p,0,63,23,38,pass,england_epl__2014_2015__2015_04_11___19_30_Burnley_0___1_Arsenal__h1_720p__event_0001,8,0
england_epl__2014_2015__2015_04_11___19_30_Burnley_0___1_Arsenal__h1_720p,8,71,31,46,background,,0,1
england_epl__2014_2015__2015_04_11___19_30_Burnley_0___1_Arsenal__h1_720p,16,79,39,54,pass,england_epl__2014_2015__2015_04_11___19_30_Burnley_0___1_Arsenal__h1_720p__event_0002,2,2
england_epl__2014_2015__2015_04_11___19_30_Burnley_0___1_Arsenal__h1_720p,24,87,47,62,pass,england_epl__2014_2015__2015_04_11___19_30_Burnley_0___1_Arsenal__h1_720p__event_0002,10,3
england_epl__2014_2015__2015_04_11___19_30_Burnley_0___1_Arsenal__h1_720p,32,95,55,70,pass,england_epl__2014_2015__2015_04_11___19_30_Burnley_0___1_Arsenal__h1_720p__event_0002,16,4
england_epl__2014_2015__2015_04_11___19_30_Burnley_0___1_Arsenal__h1_720p,40,103,63,78,pass,england_epl__2014_2015__2015_04_11___19_30_Burnley_0___1_Arsenal__h1_720p__event_0002,16,5
england_epl__2014_2015__2015_04_11___19_30_Burnley_0___1_Arsenal__h1_720p,48,111,71,86,pass,england_epl__2014_2015__2015_04_11___19_30_Burnley_0___1_Arsenal__h1_720p__event_0002,15,6
england_epl__2014_2015__2015_04_11___19_30_Burnley_0___1_Arsenal__h1_720p,56,119,79,94,pass,england_epl__2014_2015__2015_04_11___19_30_Burnley_0___1_Arsenal__h1_720p__event_0003,8,7
england_epl__2014_2015__2015_04_11___19_30_Burnley_0___1_Arsenal__h1_720p,64,127,87,102,pass,england_epl__2014_2015__2015_04_11___19_30_Burnley_0___1_Arsenal__h1_720p__event_0003,16,8
england_epl__2014_2015__2015_04_11___19_30_Burnley_0___1_Arsenal__h1_720p,72,135,95,110,pass,england_epl__2014_2015__2015_04_11___19_30_Burnley_0___1_Arsenal__h1_720p__event_0003,16,9
england_epl__2014_2015__2015_04_11___19_30_Burnley_0___1_Arsenal__h1_720p,80,143,103,118,pass,england_epl__2014_2015__2015_04_11___19_30_Burnley_0___1_Arsenal__h1_720p__event_0003,16,10
england_epl__2014_2015__2015_04_11___19_30_Burnley_0___1_Arsenal__h1_720p,88,151,111,126,pass,england_epl__2014_2015__2015_04_11___19_30_Burnley_0___1_Arsenal__h1_720p__event_0003,16,11
england_epl__2014_2015__2015_04_11___19_30_Burnley_0___1_Arsenal__h1_720p,96,159,119,134,pass,england_epl__2014_2015__2015_04_11___19_30_Burnley_0___1_Arsenal__h1_720p__event_0003,16,12
england_epl__2014_2015__2015_04_11___19_30_Burnley_0___1_Arsenal__h1_720p,104,167,127,142,pass,england_epl__2014_2015__2015_04_11___19_30_Burnley_0___1_Arsenal__h1_720p__event_0003,16,13
england_epl__2014_2015__2015_04_11___19_30_Burnley_0___1_Arsenal__h1_720p,112,175,135,150,pass,england_epl__2014_2015__2015_04_11___19_30_Burnley_0___1_Arsenal__h1_720p__event_0003,16,14
england_epl__2014_2015__2015_04_11___19_30_Burnley_0___1_Arsenal__h1_720p,120,183,143,158,pass,england_epl__2014_2015__2015_04_11___19_30_Burnley_0___1_Arsenal__h1_720p__event_0003,16,15
england_epl__2014_2015__2015_04_11___19_30_Burnley_0___1_Arsenal__h1_720p,128,191,151,166,pass,england_epl__2014_2015__2015_04_11___19_30_Burnley_0___1_Arsenal__h1_720p__event_0003,16,16
england_epl__2014_2015__2015_04_11___19_30_Burnley_0___1_Arsenal__h1_720p,136,199,159,174,pass,england_epl__2014_2015__2015_04_11___19_30_Burnley_0___1_Arsenal__h1_720p__event_0003,10,17
england_epl__2014_2015__2015_04_11___19_30_Burnley_0___1_Arsenal__h1_720p,144,207,167,182,pass,england_epl__2014_2015__2015_04_11___19_30_Burnley_0___1_Arsenal__h1_720p__event_0003,2,18
england_epl__2014_2015__2015_04_11___19_30_Burnley_0___1_Arsenal__h1_720p,152,215,175,190,background,,0,19
england_epl__2014_2015__2015_04_11___19_30_Burnley_0___1_Arsenal__h1_720p,160,223,183,198,background,,0,20
england_epl__2014_2015__2015_04_11___19_30_Burnley_0___1_Arsenal__h1_720p,168,231,191,206,background,,0,21
england_epl__2014_2015__2015_04_11___19_30_Burnley_0___1_Arsenal__h1_720p,176,239,199,214,background,,0,22
england_epl__2014_2015__2015_04_11___19_30_Burnley_0___1_Arsenal__h1_720p,184,247,207,222,background,,0,23
england_epl__2014_2015__2015_04_11___19_30_Burnley_0___1_Arsenal__h1_720p,192,255,215,230,background,,0,24
england_epl__2014_2015__2015_04_11___19_30_Burnley_0___1_Arsenal__h1_720p,200,263,223,238,background,,0,25
england_epl__2014_2015__2015_04_11___19_30_Burnley_0___1_Arsenal__h1_720p,208,271,231,246,background,,0,26
england_epl__2014_2015__2015_04_11___19_30_Burnley_0___1_Arsenal__h1_720p,216,279,239,254,background,,0,27
england_epl__2014_2015__2015_04_11___19_30_Burnley_0___1_Arsenal__h1_720p,224,287,247,262,background,,0,28
england_epl__2014_2015__2015_04_11___19_30_Burnley_0___1_Arsenal__h1_720p,232,295,255,270,background,,0,29
england_epl__2014_2015__2015_04_11___19_30_Burnley_0___1_Arsenal__h1_720p,240,303,263,278,background,,0,30
england_epl__2014_2015__2015_04_11___19_30_Burnley_0___1_Arsenal__h1_720p,248,311,271,286,background,,0,31
england_epl__2014_2015__2015_04_11___19_30_Burnley_0___1_Arsenal__h1_720p,256,319,279,294,background,,0,32
england_epl__2014_2015__2015_04_11___19_30_Burnley_0___1_Arsenal__h1_720p,264,327,287,302,background,,0,33
england_epl__2014_2015__2015_04_11___19_30_Burnley_0___1_Arsenal__h1_720p,272,335,295,310,background,,0,34
england_epl__2014_2015__2015_04_11___19_30_Burnley_0___1_Arsenal__h1_720p,280,343,303,318,background,,0,35
england_epl__2014_2015__2015_04_11___19_30_Burnley_0___1_Arsenal__h1_720p,288,351,311,326,background,,0,36
england_epl__2014_2015__2015_04_11___19_30_Burnley_0___1_Arsenal__h1_720p,296,359,319,334,background,,0,37
england_epl__2014_2015__2015_04_11___19_30_Burnley_0___1_Arsenal__h1_720p,304,367,327,342,background,,0,38
england_epl__2014_2015__2015_04_11___19_30_Burnley_0___1_Arsenal__h1_720p,312,375,335,350,background,,0,39
england_epl__2014_2015__2015_04_11___19_30_Burnley_0___1_Arsenal__h1_720p,320,383,343,358,background,,0,40
england_epl__2014_2015__2015_04_11___19_30_Burnley_0___1_Arsenal__h1_720p,328,391,351,366,background,,0,41
england_epl__2014_2015__2015_04_11___19_30_Burnley_0___1_Arsenal__h1_720p,336,399,359,374,background,,0,42
england_epl__2014_2015__2015_04_11___19_30_Burnley_0___1_Arsenal__h1_720p,344,407,367,382,background,,0,43
england_epl__2014_2015__2015_04_11___19_30_Burnley_0___1_Arsenal__h1_720p,352,415,375,390,background,,0,44
england_epl__2014_2015__2015_04_11___19_30_Burnley_0___1_Arsenal__h1_720p,360,423,383,398,background,,0,45
england_epl__2014_2015__2015_04_11___19_30_Burnley_0___1_Arsenal__h1_720p,368,431,391,406,background,,0,46
england_epl__2014_2015__2015_04_11___19_30_Burnley_0___1_Arsenal__h1_720p,376,439,399,414,background,,0,47
england_epl__2014_2015__2015_04_11___19_30_Burnley_0___1_Arsenal__h1_720p,384,447,407,422,background,,0,48
