clip_id,start_frame,end_frame,label_start_frame,label_end_frame,target_class,event_id,event_overlap_frames,fps,source_video,window_id
england_epl__2014_2015__2015_04_11___19_30_Burnley_0___1_Arsenal__h1_720p,0,63,23,38,pass,england_epl__2014_2015__2015_04_11___19_30_Burnley_0___1_Arsenal__h1_720p__event_0001,8,24.933244,temporal_module\data\gold_event_project\cvat_uploads\england_epl__2014_2015__2015_04_11___19_30_Burnley_0___1_Arsenal__h1_720p.mp4,0
england_epl__2014_2015__2015_04_11___19_30_Burnley_0___1_Arsenal__h1_720p,16,79,39,54,pass,england_epl__2014_2015__2015_04_11___19_30_Burnley_0___1_Arsenal__h1_720p__event_0002,2,24.933244,temporal_module\data\gold_event_project\cvat_uploads\england_epl__2014_2015__2015_04_11___19_30_Burnley_0___1_Arsenal__h1_720p.mp4,1
england_epl__2014_2015__2015_04_11___19_30_Burnley_0___1_Arsenal__h1_720p,32,95,55,70,pass,england_epl__2014_2015__2015_04_11___19_30_Burnley_0___1_Arsenal__h1_720p__event_0002,16,24.933244,temporal_module\data\gold_event_project\cvat_uploads\england_epl__2014_2015__2015_04_11___19_30_Burnley_0___1_Arsenal__h1_720p.mp4,2
england_epl__2014_2015__2015_04_11___19_30_Burnley_0___1_Arsenal__h1_720p,48,111,71,86,pass,england_epl__2014_2015__2015_04_11___19_30_Burnley_0___1_Arsenal__h1_720p__event_0002,15,24.933244,temporal_module\data\gold_event_project\cvat_uploads\england_epl__2014_2015__2015_04_11___19_30_Burnley_0___1_Arsenal__h1_720p.mp4,3
england_epl__2014_2015__2015_04_11___19_30_Burnley_0___1_Arsenal__h1_720p,64,127,87,102,pass,england_epl__2014_2015__2015_04_11___19_30_Burnley_0___1_Arsenal__h1_720p__event_0003,16,24.933244,temporal_module\data\gold_event_project\cvat_uploads\england_epl__2014_2015__2015_04_11___19_30_Burnley_0___1_Arsenal__h1_720p.mp4,4
england_epl__2014_2015__2015_04_11___19_30_Burnley_0___1_Arsenal__h1_720p,80,143,103,118,pass,england_epl__2014_2015__2015_04_11___19_30_Burnley_0___1_Arsenal__h1_720p__event_0003,16,24.933244,temporal_module\data\gold_event_project\cvat_uploads\england_epl__2014_2015__2015_04_11___19_30_Burnley_0___1_Arsenal__h1_720p.mp4,5
england_epl__2014_2015__2015_04_11___19_30_Burnley_0___1_Arsenal__h1_720p,96,159,119,134,pass,england_epl__2014_2015__2015_04_11___19_30_Burnley_0___1_Arsenal__h1_720p__event_0003,16,24.933244,temporal_module\data\gold_event_project\cvat_uploads\england_epl__2014_2015__2015_04_11___19_30_Burnley_0___1_Arsenal__h1_720p.mp4,6
england_epl__2014_2015__2015_04_11___19_30_Burnley_0___1_Arsenal__h1_720p,112,175,135,150,pass,england_epl__2014_2015__2015_04_11___19_30_Burnley_0___1_Arsenal__h1_720p__event_0003,16,24.933244,temporal_module\data\gold_event_project\cvat_uploads\england_epl__2014_2015__2015_04_11___19_30_Burnley_0___1_Arsenal__h1_720p.mp4,7
england_epl__2014_2015__2015_04_11___19_30_Burnley_0___1_Arsenal__h1_720p,128,191,151,166,pass,england_epl__2014_2015__2015_04_11___19_30_Burnley_0___1_Arsenal__h1_720p__event_0003,16,24.933244,temporal_module\data\gold_event_project\cvat_uploads\england_epl__2014_2015__2015_04_11___19_30_Burnley_0___1_Arsenal__h1_720p.mp4,8
england_epl__2014_2015__2015_04_11___19_30_Burnley_0___1_Arsenal__h1_720p,144,207,167,182,pass,england_epl__2014_2015__2015_04_11___19_30_Burnley_0___1_Arsenal__h1_720p__event_0003,2,24.933244,temporal_module\data\gold_event_project\cvat_uploads\england_epl__2014_2015__2015_04_11___19_30_Burnley_0___1_Arsenal__h1_720p.mp4,9
england_epl__2014_2015__2015_04_11___19_30_Burnley_0___1_Arsenal__h1_720p,160,223,183,198,background,,0,24.933244,temporal_module\data\gold_event_project\cvat_uploads\england_epl__2014_2015__2015_04_11___19_30_Burnley_0___1_Arsenal__h1_720p.mp4,10
england_epl__2014_2015__2015_04_11___19_30_Burnley_0___1_Arsenal__h1_720p,176,239,199,214,background,,0,24.933244,temporal_module\data\gold_event_project\cvat_uploads\england_epl__2014_2015__2015_04_11___19_30_Burnley_0___1_Arsenal__h1_720p.mp4,11
england_epl__2014_2015__2015_04_11___19_30_Burnley_0___1_Arsenal__h1_720p,192,255,215,230,background,,0,24.933244,temporal_module\data\gold_event_project\cvat_uploads\england_epl__2014_2015__2015_04_11___19_30_Burnley_0___1_Arsenal__h1_720p.mp4,12
england_epl__2014_2015__2015_04_11___19_30_Burnley_0___1_Arsenal__h1_720p,208,271,231,246,background,,0,24.933244,temporal_module\data\gold_event_project\cvat_uploads\england_epl__2014_2015__2015_04_11___19_30_Burnley_0___1_Arsenal__h1_720p.mp4,13
england_epl__2014_2015__2015_04_11___19_30_Burnley_0___1_Arsenal__h1_720p,224,287,247,262,background,,0,24.933244,temporal_module\data\gold_event_project\cvat_uploads\england_epl__2014_2015__2015_04_11___19_30_Burnley_0___1_Arsenal__h1_720p.mp4,14
england_epl__2014_2015__2015_04_11___19_30_Burnley_0___1_Arsenal__h1_720p,240,303,263,278,background,,0,24.933244,temporal_module\data\gold_event_project\cvat_uploads\england_epl__2014_2015__2015_04_11___19_30_Burnley_0___1_Arsenal__h1_720p.mp4,15
england_epl__2014_2015__2015_04_11___19_30_Burnley_0___1_Arsenal__h1_720p,256,319,279,294,background,,0,24.933244,temporal_module\data\gold_event_project\cvat_uploads\england_epl__2014_2015__2015_04_11___19_30_Burnley_0___1_Arsenal__h1_720p.mp4,16
england_epl__2014_2015__2015_04_11___19_30_Burnley_0___1_Arsenal__h1_720p,272,335,295,310,background,,0,24.933244,temporal_module\data\gold_event_project\cvat_uploads\england_epl__2014_2015__2015_04_11___19_30_Burnley_0___1_Arsenal__h1_720p.mp4,17
england_epl__2014_2015__2015_04_11___19_30_Burnley_0___1_Arsenal__h1_720p,288,351,311,326,background,,0,24.933244,temporal_module\data\gold_event_project\cvat_uploads\england_epl__2014_2015__2015_04_11___19_30_Burnley_0___1_Arsenal__h1_720p.mp4,18
england_epl__2014_2015__2015_04_11___19_30_Burnley_0___1_Arsenal__h1_720p,304,367,327,342,background,,0,24.933244,temporal_module\data\gold_event_project\cvat_uploads\england_epl__2014_2015__2015_04_11___19_30_Burnley_0___1_Arsenal__h1_720p.mp4,19
england_epl__2014_2015__2015_04_11___19_30_Burnley_0___1_Arsenal__h1_720p,320,383,343,358,background,,0,24.933244,temporal_module\data\gold_event_project\cvat_uploads\england_epl__2014_2015__2015_04_11___19_30_Burnley_0___1_Arsenal__h1_720p.mp4,20
england_epl__2014_2015__2015_04_11___19_30_Burnley_0___1_Arsenal__h1_720p,336,399,359,374,background,,0,24.933244,temporal_module\data\gold_event_project\cvat_uploads\england_epl__2014_2015__2015_04_11___19_30_Burnley_0___1_Arsenal__h1_720p.mp4,21
england_epl__2014_2015__2015_04_11___19_30_Burnley_0___1_Arsenal__h1_720p,352,415,375,390,background,,0,24.933244,temporal_module\data\gold_event_project\cvat_uploads\england_epl__2014_2015__2015_04_11___19_30_Burnley_0___1_Arsenal__h1_720p.mp4,22
england_epl__2014_2015__2015_04_11___19_30_Burnley_0___1_Arsenal__h1_720p,368,431,391,406,background,,0,24.933244,temporal_module\data\gold_event_project\cvat_uploads\england_epl__2014_2015__2015_04_11___19_30_Burnley_0___1_Arsenal__h1_720p.mp4,23
