clip_id,readiness_status,temporal_frames_path,unified_candidates_path,tracks_path,ball_tracks_path,team_assignments_path,possession_path,frame_count,unified_event_rows,normalized_candidate_events,background_possible,feature_column_count_probe,gold_dependency_detected,warnings,reasons
england_epl__2014_2015__2015_04_11___19_30_Burnley_0___1_Arsenal__h1_720p,READY,E:\Projects\Sports-Analytics-Project\temporal_module\data\derived\england_epl__2014_2015__2015_04_11___19_30_Burnley_0___1_Arsenal__h1_720p\temporal_frames.csv,E:\Projects\Sports-Analytics-Project\temporal_module\data\derived\england_epl__2014_2015__2015_04_11___19_30_Burnley_0___1_Arsenal__h1_720p\events\event_candidates_unified.csv,E:\Projects\Sports-Analytics-Project\outputs\england_epl__2014_2015__2015_04_11___19_30_Burnley_0___1_Arsenal__h1_720p\tracks\tracks.csv,E:\Projects\Sports-Analytics-Project\outputs\england_epl__2014_2015__2015_04_11___19_30_Burnley_0___1_Arsenal__h1_720p\tracks\ball_tracks.csv,E:\Projects\Sports-Analytics-Project\outputs\england_epl__2014_2015__2015_04_11___19_30_Burnley_0___1_Arsenal__h1_720p\teams\player_teams.csv,E:\Projects\Sports-Analytics-Project\outputs\england_epl__2014_2015__2015_04_11___19_30_Burnley_0___1_Arsenal__h1_720p\possession\possession.csv,747,49,49,1,74,0,,
england_epl__2014_2015__2015_04_11___19_30_Burnley_0___1_Arsenal__h2_720p,READY,E:\Projects\Sports-Analytics-Project\temporal_module\data\derived\england_epl__2014_2015__2015_04_11___19_30_Burnley_0___1_Arsenal__h2_720p\temporal_frames.csv,E:\Projects\Sports-Analytics-Project\temporal_module\data\derived\england_epl__2014_2015__2015_04_11___19_30_Burnley_0___1_Arsenal__h2_720p\events\event_candidates_unified.csv,E:\Projects\Sports-Analytics-Project\outputs\england_epl__2014_2015__2015_04_11___19_30_Burnley_0___1_Arsenal__h2_720p\tracks\tracks.csv,E:\Projects\Sports-Analytics-Project\outputs\england_epl__2014_2015__2015_04_11___19_30_Burnley_0___1_Arsenal__h2_720p\tracks\ball_tracks.csv,E:\Projects\Sports-Analytics-Project\outputs\england_epl__2014_2015__2015_04_11___19_30_Burnley_0___1_Arsenal__h2_720p\teams\player_teams.csv,E:\Projects\Sports-Analytics-Project\outputs\england_epl__2014_2015__2015_04_11___19_30_Burnley_0___1_Arsenal__h2_720p\possession\possession.csv,750,44,44,1,74,0,,
england_epl__2015_2016__2015_08_30___18_00_Swansea_2___1_Manchester_United__h1_720p,READY,E:\Projects\Sports-Analytics-Project\temporal_module\data\derived\england_epl__2015_2016__2015_08_30___18_00_Swansea_2___1_Manchester_United__h1_720p\temporal_frames.csv,E:\Projects\Sports-Analytics-Project\temporal_module\data\derived\england_epl__2015_2016__2015_08_30___18_00_Swansea_2___1_Manchester_United__h1_720p\events\event_candidates_unified.csv,E:\Projects\Sports-Analytics-Project\outputs\england_epl__2015_2016__2015_08_30___18_00_Swansea_2___1_Manchester_United__h1_720p\tracks\tracks.csv,E:\Projects\Sports-Analytics-Project\outputs\england_epl__2015_2016__2015_08_30___18_00_Swansea_2___1_Manchester_United__h1_720p\tracks\ball_tracks.csv,E:\Projects\Sports-Analytics-Project\outputs\england_epl__2015_2016__2015_08_30___18_00_Swansea_2___1_Manchester_United__h1_720p\teams\player_teams.csv,E:\Projects\Sports-Analytics-Project\outputs\england_epl__2015_2016__2015_08_30___18_00_Swansea_2___1_Manchester_United__h1_720p\possession\possession.csv,750,63,63,1,74,0,,
england_epl__2015_2016__2015_08_30___18_00_Swansea_2___1_Manchester_United__h2_720p,READY,E:\Projects\Sports-Analytics-Project\temporal_module\data\derived\england_epl__2015_2016__2015_08_30___18_00_Swansea_2___1_Manchester_United__h2_720p\temporal_frames.csv,E:\Projects\Sports-Analytics-Project\temporal_module\data\derived\england_epl__2015_2016__2015_08_30___18_00_Swansea_2___1_Manchester_United__h2_720p\events\event_candidates_unified.csv,E:\Projects\Sports-Analytics-Project\outputs\england_epl__2015_2016__2015_08_30___18_00_Swansea_2___1_Manchester_United__h2_720p\tracks\tracks.csv,E:\Projects\Sports-Analytics-Project\outputs\england_epl__2015_2016__2015_08_30___18_00_Swansea_2___1_Manchester_United__h2_720p\tracks\ball_tracks.csv,E:\Projects\Sports-Analytics-Project\outputs\england_epl__2015_2016__2015_08_30___18_00_Swansea_2___1_Manchester_United__h2_720p\teams\player_teams.csv,E:\Projects\Sports-Analytics-Project\outputs\england_epl__2015_2016__2015_08_30___18_00_Swansea_2___1_Manchester_United__h2_720p\possession\possession.csv,750,36,36,1,74,0,,
england_epl__2015_2016__2015_09_26___17_00_Manchester_United_3___0_Sunderland__h1_720p,READY,E:\Projects\Sports-Analytics-Project\temporal_module\data\derived\england_epl__2015_2016__2015_09_26___17_00_Manchester_United_3___0_Sunderland__h1_720p\temporal_frames.csv,E:\Projects\Sports-Analytics-Project\temporal_module\data\derived\england_epl__2015_2016__2015_09_26___17_00_Manchester_United_3___0_Sunderland__h1_720p\events\event_candidates_unified.csv,E:\Projects\Sports-Analytics-Project\outputs\england_epl__2015_2016__2015_09_26___17_00_Manchester_United_3___0_Sunderland__h1_720p\tracks\tracks.csv,E:\Projects\Sports-Analytics-Project\outputs\england_epl__2015_2016__2015_09_26___17_00_Manchester_United_3___0_Sunderland__h1_720p\tracks\ball_tracks.csv,E:\Projects\Sports-Analytics-Project\outputs\england_epl__2015_2016__2015_09_26___17_00_Manchester_United_3___0_Sunderland__h1_720p\teams\player_teams.csv,E:\Projects\Sports-Analytics-Project\outputs\england_epl__2015_2016__2015_09_26___17_00_Manchester_United_3___0_Sunderland__h1_720p\possession\possession.csv,750,47,47,1,74,0,,
england_epl__2015_2016__2015_09_26___17_00_Manchester_United_3___0_Sunderland__h2_720p,READY,E:\Projects\Sports-Analytics-Project\temporal_module\data\derived\england_epl__2015_2016__2015_09_26___17_00_Manchester_United_3___0_Sunderland__h2_720p\temporal_frames.csv,E:\Projects\Sports-Analytics-Project\temporal_module\data\derived\england_epl__2015_2016__2015_09_26___17_00_Manchester_United_3___0_Sunderland__h2_720p\events\event_candidates_unified.csv,E:\Projects\Sports-Analytics-Project\outputs\england_epl__2015_2016__2015_09_26___17_00_Manchester_United_3___0_Sunderland__h2_720p\tracks\tracks.csv,E:\Projects\Sports-Analytics-Project\outputs\england_epl__2015_2016__2015_09_26___17_00_Manchester_United_3___0_Sunderland__h2_720p\tracks\ball_tracks.csv,E:\Projects\Sports-Analytics-Project\outputs\england_epl__2015_2016__2015_09_26___17_00_Manchester_United_3___0_Sunderland__h2_720p\teams\player_teams.csv,E:\Projects\Sports-Analytics-Project\outputs\england_epl__2015_2016__2015_09_26___17_00_Manchester_United_3___0_Sunderland__h2_720p\possession\possession.csv,750,57,57,1,74,0,,
england_epl__2015_2016__2015_10_03___17_00_Manchester_City_6___1_Newcastle_Utd__h1_720p,READY,E:\Projects\Sports-Analytics-Project\temporal_module\data\derived\england_epl__2015_2016__2015_10_03___17_00_Manchester_City_6___1_Newcastle_Utd__h1_720p\temporal_frames.csv,E:\Projects\Sports-Analytics-Project\temporal_module\data\derived\england_epl__2015_2016__2015_10_03___17_00_Manchester_City_6___1_Newcastle_Utd__h1_720p\events\event_candidates_unified.csv,E:\Projects\Sports-Analytics-Project\outputs\england_epl__2015_2016__2015_10_03___17_00_Manchester_City_6___1_Newcastle_Utd__h1_720p\tracks\tracks.csv,E:\Projects\Sports-Analytics-Project\outputs\england_epl__2015_2016__2015_10_03___17_00_Manchester_City_6___1_Newcastle_Utd__h1_720p\tracks\ball_tracks.csv,E:\Projects\Sports-Analytics-Project\outputs\england_epl__2015_2016__2015_10_03___17_00_Manchester_City_6___1_Newcastle_Utd__h1_720p\teams\player_teams.csv,E:\Projects\Sports-Analytics-Project\outputs\england_epl__2015_2016__2015_10_03___17_00_Manchester_City_6___1_Newcastle_Utd__h1_720p\possession\possession.csv,750,38,38,1,74,0,,
england_epl__2015_2016__2016_01_23___20_30_West_Ham_2___2_Manchester_City__h2_720p,READY,E:\Projects\Sports-Analytics-Project\temporal_module\data\derived\england_epl__2015_2016__2016_01_23___20_30_West_Ham_2___2_Manchester_City__h2_720p\temporal_frames.csv,E:\Projects\Sports-Analytics-Project\temporal_module\data\derived\england_epl__2015_2016__2016_01_23___20_30_West_Ham_2___2_Manchester_City__h2_720p\events\event_candidates_unified.csv,E:\Projects\Sports-Analytics-Project\outputs\england_epl__2015_2016__2016_01_23___20_30_West_Ham_2___2_Manchester_City__h2_720p\tracks\tracks.csv,E:\Projects\Sports-Analytics-Project\outputs\england_epl__2015_2016__2016_01_23___20_30_West_Ham_2___2_Manchester_City__h2_720p\tracks\ball_tracks.csv,E:\Projects\Sports-Analytics-Project\outputs\england_epl__2015_2016__2016_01_23___20_30_West_Ham_2___2_Manchester_City__h2_720p\teams\player_teams.csv,E:\Projects\Sports-Analytics-Project\outputs\england_epl__2015_2016__2016_01_23___20_30_West_Ham_2___2_Manchester_City__h2_720p\possession\possession.csv,749,77,77,1,74,0,,
england_epl__2015_2016__2016_01_24___19_00_Arsenal_0___1_Chelsea__h1_720p,READY,E:\Projects\Sports-Analytics-Project\temporal_module\data\derived\england_epl__2015_2016__2016_01_24___19_00_Arsenal_0___1_Chelsea__h1_720p\temporal_frames.csv,E:\Projects\Sports-Analytics-Project\temporal_module\data\derived\england_epl__2015_2016__2016_01_24___19_00_Arsenal_0___1_Chelsea__h1_720p\events\event_candidates_unified.csv,E:\Projects\Sports-Analytics-Project\outputs\england_epl__2015_2016__2016_01_24___19_00_Arsenal_0___1_Chelsea__h1_720p\tracks\tracks.csv,E:\Projects\Sports-Analytics-Project\outputs\england_epl__2015_2016__2016_01_24___19_00_Arsenal_0___1_Chelsea__h1_720p\tracks\ball_tracks.csv,E:\Projects\Sports-Analytics-Project\outputs\england_epl__2015_2016__2016_01_24___19_00_Arsenal_0___1_Chelsea__h1_720p\teams\player_teams.csv,E:\Projects\Sports-Analytics-Project\outputs\england_epl__2015_2016__2016_01_24___19_00_Arsenal_0___1_Chelsea__h1_720p\possession\possession.csv,750,72,72,1,74,0,,
england_epl__2015_2016__2016_01_24___19_00_Arsenal_0___1_Chelsea__h2_720p,READY,E:\Projects\Sports-Analytics-Project\temporal_module\data\derived\england_epl__2015_2016__2016_01_24___19_00_Arsenal_0___1_Chelsea__h2_720p\temporal_frames.csv,E:\Projects\Sports-Analytics-Project\temporal_module\data\derived\england_epl__2015_2016__2016_01_24___19_00_Arsenal_0___1_Chelsea__h2_720p\events\event_candidates_unified.csv,E:\Projects\Sports-Analytics-Project\outputs\england_epl__2015_2016__2016_01_24___19_00_Arsenal_0___1_Chelsea__h2_720p\tracks\tracks.csv,E:\Projects\Sports-Analytics-Project\outputs\england_epl__2015_2016__2016_01_24___19_00_Arsenal_0___1_Chelsea__h2_720p\tracks\ball_tracks.csv,E:\Projects\Sports-Analytics-Project\outputs\england_epl__2015_2016__2016_01_24___19_00_Arsenal_0___1_Chelsea__h2_720p\teams\player_teams.csv,E:\Projects\Sports-Analytics-Project\outputs\england_epl__2015_2016__2016_01_24___19_00_Arsenal_0___1_Chelsea__h2_720p\possession\possession.csv,750,62,62,1,74,0,,
