split,clip_id,windows,background_windows,carry_windows,pass_windows,turnover_windows,shot_windows
test,england_epl__2014_2015__2015_04_11___19_30_Burnley_0___1_Arsenal__h1_720p,43,20,3,16,4,0
test,england_epl__2015_2016__2015_10_03___17_00_Manchester_City_6___1_Newcastle_Utd__h1_720p,43,17,0,23,0,3
test,england_epl__2015_2016__2016_01_24___19_00_Arsenal_0___1_Chelsea__h2_720p,43,7,4,32,0,0
test,england_epl__2015_2016__2016_02_27___18_00_Southampton_1___2_Chelsea__h1_720p,43,20,7,16,0,0
test,england_epl__2015_2016__2016_03_20___19_00_Manchester_City_0___1_Manchester_United__h1_720p,43,29,11,3,0,0
train,england_epl__2014_2015__2015_04_11___19_30_Burnley_0___1_Arsenal__h2_720p,43,30,5,8,0,0
train,england_epl__2015_2016__2015_08_30___18_00_Swansea_2___1_Manchester_United__h1_720p,43,21,0,18,2,2
train,england_epl__2015_2016__2015_08_30___18_00_Swansea_2___1_Manchester_United__h2_720p,43,23,0,20,0,0
train,england_epl__2015_2016__2016_01_23___20_30_West_Ham_2___2_Manchester_City__h2_720p,43,32,8,3,0,0
train,england_epl__2015_2016__2016_02_13___20_30_Chelsea_5___1_Newcastle_Utd__h1_720p,43,25,0,15,3,0
train,england_epl__2015_2016__2016_02_13___20_30_Chelsea_5___1_Newcastle_Utd__h2_720p,43,24,7,12,0,0
train,england_epl__2015_2016__2016_02_27___18_00_Southampton_1___2_Chelsea__h2_720p,43,26,0,17,0,0
train,england_epl__2015_2016__2016_03_05___18_00_Manchester_City_4___0_Aston_Villa__h1_720p,43,9,3,31,0,0
train,england_epl__2015_2016__2016_03_05___18_00_Manchester_City_4___0_Aston_Villa__h2_720p,43,22,2,19,0,0
train,england_epl__2015_2016__2016_03_20___19_00_Manchester_City_0___1_Manchester_United__h2_720p,43,17,8,18,0,0
train,england_epl__2016_2017__2016_10_02___18_30_Burnley_0___1_Arsenal__h1_720p,43,18,10,12,3,0
train,england_epl__2016_2017__2016_10_22___17_00_Arsenal_0___0_Middlesbrough__h2_720p,43,37,0,2,4,0
train,england_epl__2016_2017__2016_12_04___16_30_Bournemouth_4___3_Liverpool__h2_720p,43,16,5,18,4,0
train,england_epl__2016_2017__2017_04_09___18_00_Everton_4___2_Leicester__h1_720p,43,29,13,1,0,0
train,england_epl__2016_2017__2017_04_09___18_00_Everton_4___2_Leicester__h2_720p,43,33,4,6,0,0
val,england_epl__2015_2016__2015_09_26___17_00_Manchester_United_3___0_Sunderland__h1_720p,43,16,7,18,2,0
val,england_epl__2015_2016__2015_09_26___17_00_Manchester_United_3___0_Sunderland__h2_720p,43,19,6,18,0,0
val,england_epl__2015_2016__2016_01_24___19_00_Arsenal_0___1_Chelsea__h1_720p,43,23,0,18,2,0
val,england_epl__2015_2016__2016_04_23___17_00_Bournemouth_1___4_Chelsea__h1_720p,43,2,21,16,4,0
val,england_epl__2016_2017__2016_10_01___14_30_Swansea_1___2_Liverpool__h1_720p,43,37,0,6,0,0
